park_id,split_slugger,split_contact,diff,se,z,name
ANA01,-0.0016867638025532122,0.0014994930544272797,-0.003186256856980492,0.005048511866273576,-0.6311279326223199,Angel Stadium of Anaheim
ARL01,-0.003631540168096876,-0.012184425989006153,0.008552885820909278,0.008014898851685024,1.067123363523315,Arlington Stadium
ARL02,0.007584837012287503,-0.001676136443090859,0.009260973455378362,0.007510858059584535,1.2330113792472115,Rangers Ballpark in Arlington
ATL01,-0.0009648442551352613,-0.002955780056794909,0.0019909358016596476,0.007926883365242984,0.25116249475667907,Atlanta-Fulton County Stadium
ATL02,-0.005762952885589789,-0.00574648709269839,-1.64657928913986e-05,0.009391180859430593,-0.0017533250757133171,Turner Field
BAL11,0.0003808701996953403,0.007012719071369202,-0.006631848871673862,0.006430125989252669,-1.031371528762944,Memorial Stadium
BAL12,-0.007812357295537755,0.008198698483379539,-0.016011055778917295,0.007336029460062563,-2.182523375360157,Oriole Park at Camden Yards
BOS07,-0.0101928871341064,-0.003859704624021021,-0.00633318251008538,0.0037930778142240646,-1.6696684909378625,Fenway Park
BOS08,0.005442792271608493,-0.00429656036564615,0.009739352637254643,0.007672760039845461,1.2693414868544235,Braves Field
CHI10,-0.006686353428614492,-0.0009825784751846024,-0.00570377495342989,0.004848356301247684,-1.176434774804416,Comiskey Park I
CHI11,-0.008680006448857674,-0.0005523423968571061,-0.008127664052000567,0.003989771641763523,-2.0371251243863293,Wrigley Field
CHI12,-0.014179688087848091,-0.003969449338150193,-0.010210238749697897,0.007416399983012838,-1.376710907324889,Guaranteed Rate Field;U.S. Cellular Field
CIN07,-0.005845264284284467,0.0010302837263989426,-0.0068755480106834094,0.005839665411141491,-1.1773873204388663,Crosley Field
CIN08,0.0032779632493293515,0.011680046136287953,-0.008402082886958602,0.007654599970157218,-1.097651467054526,Cinergy Field
CIN09,0.0038568327799569074,0.007341117908670667,-0.0034842851287137594,0.008582057699155871,-0.4059964697110429,Great American Ballpark
CLE06,0.038208873657696554,0.011636106868971955,0.026572766788724597,0.00795328676600477,3.341105076495699,League Park IV
CLE07,-0.008313495121349646,0.003974939242772104,-0.012288434364121751,0.005420786848335009,-2.2669097140198633,Cleveland Stadium
CLE08,0.011248069146695312,0.0011819467222089757,0.010066122424486335,0.007515454886396255,1.3393896412986326,Progressive Field
DEN02,-0.003818946429780326,0.0005307447332096801,-0.004349691162990006,0.007655726248949989,-0.5681617943936518,Coors Field
DET04,0.00016963638569467707,-0.004529414403999714,0.004699050789694391,0.00439046214022088,1.07028614292025,Tiger Stadium
DET05,-0.009793294110738517,-0.0038855145950422157,-0.005907779515696301,0.008791317241485307,-0.6720016299512099,Comerica Park
HOU02,-0.0021177989481307898,-0.0007757352462695096,-0.0013420637018612801,0.007982886148316591,-0.16811760520276126,Astrodome
HOU03,0.000677752521105991,-0.005227310339416424,0.0059050628605224155,0.008752884712405758,0.6746419100154456,Minute Maid Park
KAN06,-0.0014509398301843235,-0.0017513843933379051,0.0003004445631535817,0.005352805430297235,0.05612842967410051,Kauffman Stadium
LOS03,-0.00720069710157684,0.005004852955719449,-0.012205550057296288,0.005006258177507696,-2.4380584509472247,Dodger Stadium
MIA01,0.00045340372219937084,-0.009424723747914478,0.00987812747011385,0.009311603993482978,1.0608405895512063,Sun Life Stadium
MIL05,-0.004264437168601994,-0.005878921815672337,0.0016144846470703429,0.005989349082264376,0.26955928347057695,County Stadium
MIL06,-0.0027425943072171286,0.01098083673195337,-0.013723431039170498,0.008299635148651285,-1.6534981108658247,Miller Park
MIN02,-0.01640153042048078,-0.0013644648123143175,-0.015037065608166462,0.008911495743379683,-1.6873784200971473,Metropolitan Stadium
MIN03,0.006081280245102429,0.005928093176759316,0.00015318706834311323,0.00722059370342681,0.021215300934383334,Hubert H. Humphrey Metrodome
MON02,0.0015453942550676543,-1.7279163793899703e-05,0.001562673418861554,0.00833206199498846,0.18754942291613594,Stade Olympique
NYC14,-0.000846485200247092,-0.007796730929187626,0.006950245728940534,0.005961930933038514,1.1657709233807447,Polo Grounds V
