age,alpha
19,-0.05395971305034235
20,-0.032539515331055036
21,-0.02363636713580864
22,-0.016090637292886054
23,-0.00921597631584814
24,-0.005948626148268389
25,-0.0014702192377420292
26,0.0005377174096047876
27,0.0005717407673964531
28,0.0
29,0.00027148907458796057
30,-0.0016589397219237134
31,-0.004601602397781332
32,-0.007681489192498808
33,-0.010319430592449226
34,-0.013303613169325892
35,-0.01686044560574211
36,-0.021839443571966342
37,-0.025572385912373624
38,-0.03226674499801198
39,-0.0358663196923638
40,-0.040754142945547925
41,-0.051753919740643375
42,-0.05057089105766955
43,-0.05407438677707441
44,-0.0584314391469728
45,-0.0742051868551058
