park_id,season,effect,n_pa,component,n_components
BOS07,1918,-0.006402928882895716,4305,1,2
CHI10,1918,-0.007824603181107963,3477,1,2
CLE06,1918,0.025088215137477048,4165,1,2
DET04,1918,0.008842457725511992,3748,1,2
NYC14,1918,-0.006701382795344838,7986,1,2
PHI11,1918,0.007085739776071534,3841,1,2
STL07,1918,-0.012004047505442426,3614,1,2
WAS09,1918,-0.002531140636226304,5207,1,2
BOS07,1919,-0.014524160192207708,4726,0,2
CHI10,1919,0.0042546486423661566,4456,0,2
CLE06,1919,0.009628457278463422,4648,0,2
DET04,1919,-0.010267107537081249,5027,0,2
PHI11,1919,0.015874020209566565,4336,0,2
STL07,1919,0.008467464794001537,5070,0,2
WAS09,1919,-0.011738446270762957,4704,0,2
BOS08,1919,0.003501679339851316,4865,1,2
CHI11,1919,-0.005675514537618193,4733,1,2
CIN07,1919,-0.01106721805481856,4733,1,2
NYC14,1919,-0.0031645652047220716,9714,1,2
NYC15,1919,-0.006037461873445471,5135,1,2
PHI09,1919,0.021569641909203466,5208,1,2
PIT06,1919,0.005420805162094711,4309,1,2
STL05,1919,-0.0024720648455070627,4750,1,2
BOS08,1920,-0.014184583508867265,5128,0,2
CHI11,1920,0.0017515945727816125,5426,0,2
CIN07,1920,-0.02052475592760508,5239,0,2
NYC15,1920,0.002522360519957079,5335,0,2
PHI09,1920,0.013275684955195505,5014,0,2
PIT06,1920,-0.0047733073730764795,4932,0,2
STL05,1920,0.001668083931984882,2160,0,2
STL07,1920,0.013304652159861274,8319,0,2
BOS07,1920,-0.004950909810030712,5115,1,2
CHI10,1920,-0.003554907554918812,5038,1,2
CLE06,1920,0.010750826324758484,5269,1,2
DET04,1920,0.008998569452181054,4698,1,2
NYC14,1920,-0.004005508092698613,10144,1,2
PHI11,1920,-0.0018724344991162864,3841,1,2
WAS09,1920,-0.0015455896713975222,5088,1,2
BOS07,1921,-0.015127675057075067,5170,0,2
CHI10,1921,-0.011401705125254192,4650,0,2
CLE06,1921,0.011703348669925295,5185,0,2
DET04,1921,0.0007436037009644898,4410,0,2
PHI11,1921,0.014728769412153517,5190,0,2
WAS09,1921,-0.0018691097059243648,4909,0,2
BOS08,1921,-0.01643893501576381,5195,1,2
CHI11,1921,0.012656346237917643,5096,1,2
CIN07,1921,-0.014283313939116155,4872,1,2
NYC14,1921,0.0025813273187051604,10890,1,2
NYC15,1921,0.0038102477120644453,5578,1,2
PHI09,1921,0.019742944564405732,4896,1,2
PIT06,1921,-0.006123229685607296,5180,1,2
STL07,1921,-0.0022484432179608023,10592,1,2
BOS08,1922,-0.02193192102644815,4751,0,2
CHI11,1922,-0.012972694911343077,4871,0,2
CIN07,1922,-0.019069991546965467,4692,0,2
NYC15,1922,-0.0026298489301488075,4569,0,2
PHI09,1922,0.03415034259850854,5240,0,2
PIT06,1922,0.017551315104183132,5124,0,2
BOS07,1922,-0.0251856176931268,4842,1,2
CHI10,1922,-0.004826323212182241,4476,1,2
CLE06,1922,0.007340917757712293,4902,1,2
DET04,1922,0.00043250969767924963,4179,1,2
NYC14,1922,-0.006200479342104947,10356,1,2
PHI11,1922,0.02033530806936546,4737,1,2
STL07,1922,0.014734382298679717,10084,1,2
WAS09,1922,-0.016376519813088124,4576,1,2
BOS08,1923,-0.0006559946595080148,4747,0,2
CHI11,1923,0.0016177397983618601,5092,0,2
CIN07,1923,-0.017774166831169103,4903,0,2
NYC14,1923,-0.005474808636986584,5210,0,2
NYC15,1923,0.0049470241570735264,4978,0,2
PHI09,1923,0.0408191809360849,4834,0,2
PIT06,1923,0.011481283151179647,5107,0,2
STL07,1923,-0.016666746852055745,10202,0,2
BOS07,1923,-0.003823888018916104,5196,1,2
CHI10,1923,-0.010060982351781423,4484,1,2
CLE06,1923,0.016543437132365273,5328,1,2
DET04,1923,-0.002219724224689001,5088,1,2
NYC16,1923,-0.003969224582196856,5042,1,2
PHI11,1923,0.0032808636044969262,4429,1,2
WAS09,1923,-0.001347377871962205,4739,1,2
BOS08,1924,-0.015326885449374196,4548,0,2
CHI11,1924,-0.002656754423419881,5189,0,2
CIN07,1924,-0.014940546540090454,5055,0,2
NYC14,1924,-0.008169666933814448,4840,0,2
NYC15,1924,-0.0008414899397538605,5076,0,2
PHI09,1924,0.033279043081980035,5225,0,2
PIT06,1924,0.007289505735971705,3971,0,2
BOS07,1924,-0.003622480419911754,5134,1,2
CHI10,1924,0.007159291964417091,5631,1,2
CLE06,1924,-0.0032478685774615075,4996,1,2
DET04,1924,-0.0010336853299454814,5601,1,2
NYC16,1924,0.0025126369382284888,5198,1,2
PHI11,1924,0.001596229476665132,4541,1,2
STL07,1924,0.007169936521598389,9890,1,2
WAS09,1924,-0.018445926696457594,4929,1,2
BOS07,1925,-0.008837118694279056,4591,0,2
CHI10,1925,-0.006473513314852362,5492,0,2
CLE06,1925,0.016590442093215023,5554,0,2
DET04,1925,-0.0009714939188783384,5286,0,2
NYC16,1925,-0.009132930725406871,5077,0,2
PHI11,1925,0.007904904184294168,4498,0,2
WAS09,1925,-1.4057531549651128e-05,5166,0,2
BOS08,1925,-0.007630754344685228,4721,1,2
CHI11,1925,-0.0011223161572941915,5158,1,2
CIN07,1925,-0.02349813491440851,5033,1,2
NYC14,1925,-0.018251227956213666,5348,1,2
NYC15,1925,-0.008640373693729353,5163,1,2
PHI09,1925,0.03132533522111925,5639,1,2
PIT06,1925,0.007440783180717753,5430,1,2
STL07,1925,0.007956193143459349,10715,1,2
BOS08,1926,-0.017652061071844017,4414,0,2
CHI11,1926,0.008296789326294095,5223,0,2
CIN07,1926,-0.003143260522186277,5054,0,2
NYC14,1926,-0.012184121615584936,4824,0,2
NYC15,1926,-0.007524210905638253,4722,0,2
PHI09,1926,0.01864007399155234,5416,0,2
PIT06,1926,0.008714994317973939,5028,0,2
BOS07,1926,0.005009720929156584,4137,1,2
CHI10,1926,-0.004765621453961789,4565,1,2
CLE06,1926,-0.0065437718368769795,5446,1,2
DET04,1926,0.0003115853717565,4704,1,2
NYC16,1926,-0.0017590084890805626,4650,1,2
PHI11,1926,0.0016713862503167627,4748,1,2
STL07,1926,-0.00033810251866946443,10504,1,2
WAS09,1926,0.008104032980492289,4812,1,2
BOS07,1927,-0.005615749950732251,5217,0,2
CHI10,1927,0.0013621471130400185,5221,0,2
CLE06,1927,-0.0038571655956973106,5433,0,2
