park_id,pos,season,n_first,outs,exp_outs,chances,errors,exp_errors,park_bip,park_first,conv_eff,conv_se,conv_z,coverage,err_eff,err_se,err_z,name
ANA01,1,119730,256385.0,4871.0,4922.172620565384,12547.0,605.0,588.3800645067558,261521.0,193613.0,-0.00037944814843390504,0.0003606853347573548,-1.052019896204465,0.0823202165042571,0.0013246142897301472,0.0019332547093372917,0.6851731866124444,Angel Stadium of Anaheim
ANA01,2,119730,261063.0,3216.0,3590.4831182867097,67959.0,704.0,666.334821371226,261521.0,193613.0,-0.00202893615329304,0.0003091507268748041,-6.562935089312251,0.0823202165042571,0.0005542338561305201,0.00037983875598992845,1.459129294708452,Angel Stadium of Anaheim
ANA01,3,119730,259721.0,81145.0,80705.06911856911,88246.0,600.0,629.9335862922098,261521.0,193613.0,0.00042509960896069954,0.0011256132222527695,0.37766046147709387,0.0823202165042571,-0.0003392061542983233,0.0002844149057002778,-1.1926454890370115,Angel Stadium of Anaheim
ANA01,4,119730,260219.0,18557.0,18537.575893508285,46729.0,888.0,873.7298829032857,261521.0,193613.0,-0.00032655501811681975,0.0006739523120187816,-0.48453727703469823,0.0823202165042571,0.00030538032264149306,0.0006325605560061552,0.48276851874798454,Angel Stadium of Anaheim
ANA01,5,119730,259825.0,6521.0,6915.1203532430345,25417.0,1127.0,1129.226266233541,261521.0,193613.0,-0.0022076582815041476,0.00042522511722650237,-5.191740073830601,0.0823202165042571,-8.75896539143519e-05,0.0013221057584113707,-0.06625011150363551,Angel Stadium of Anaheim
ANA01,6,119730,260557.0,13505.0,13768.424900300359,43953.0,1374.0,1350.9115605676857,261521.0,193613.0,-0.0016864983493375396,0.0005887741738031703,-2.86442310885284,0.0823202165042571,0.00052529837399755,0.0008362284443962875,0.6281756827547137,Angel Stadium of Anaheim
ANA01,7,119730,259034.0,19557.0,18740.8879525258,18352.0,334.0,310.7873439436274,261521.0,193613.0,0.0038090296113590105,0.0006772398230441421,5.624343816991902,0.0823202165042571,0.001264857021380374,0.0009606125625645061,1.3167192171666373,Angel Stadium of Anaheim
ANA01,8,119730,260475.0,25310.0,25067.276928288873,25015.0,338.0,310.3496082761456,261521.0,193613.0,0.000683314814943603,0.0007687823274364385,0.8888274230004308,0.0823202165042571,0.001105352457479688,0.0007042471425922581,1.5695519237905664,Angel Stadium of Anaheim
ANA01,9,119730,260227.0,19742.0,19326.873427630046,19407.0,404.0,389.5522174846754,261521.0,193613.0,0.0017116519154220938,0.0006865793293763764,2.4930140512339576,0.0823202165042571,0.0007444624370239915,0.0010170081531153468,0.7320122604165163,Angel Stadium of Anaheim
ARL01,1,43615,98399.0,2024.0,1880.9319702437856,5625.0,250.0,261.0237720077649,99249.0,72995.0,0.0019885415589244587,0.0005896408275251039,3.37246246544859,0.08167137652901714,-0.001959781690269311,0.002872218689746115,-0.6823232845276634,Arlington Stadium
ARL01,2,43615,99066.0,1395.0,1485.2823766863085,22861.0,274.0,276.8813255989426,99249.0,72995.0,-0.0012305755446704557,0.0005254322095903692,-2.342025331164645,0.08167137652901714,-0.00012603672625618407,0.0007278662949259889,-0.17315917378616874,Arlington Stadium
ARL01,3,43615,98521.0,31311.0,30659.86781843666,34354.0,296.0,256.71523533209245,99249.0,72995.0,0.009251090753549074,0.0018334558477650807,5.045712316893714,0.08167137652901714,0.0011435281093295556,0.0004663892272887567,2.4518750486094745,Arlington Stadium
ARL01,4,43615,99032.0,7437.0,7200.741782882402,18951.0,405.0,402.94201265787365,99249.0,72995.0,0.0033210271454915674,0.0011094614988322658,2.9933685386892885,0.08167137652901714,0.00010859518453518826,0.0010592272476543606,0.1025230277786663,Arlington Stadium
ARL01,5,43615,98999.0,2491.0,2634.522769749274,10075.0,445.0,455.30967187085315,99249.0,72995.0,-0.0019537737750308093,0.0006941066555101989,-2.8148034016396224,0.08167137652901714,-0.0010232924933849283,0.002117914302099409,-0.4831604812199326,Arlington Stadium
ARL01,6,43615,98854.0,5172.0,5203.188831952293,17270.0,664.0,597.5101122107434,99249.0,72995.0,-0.0003824920647472335,0.0009573922635253279,-0.39951447209194485,0.08167137652901714,0.0038500224545024095,0.0014154035882050914,2.7200880982538127,Arlington Stadium
ARL01,7,43615,98352.0,6928.0,7162.875423011276,6546.0,155.0,140.01680682583608,99249.0,72995.0,-0.003171443739423657,0.001106860716119743,-2.8652600035726286,0.08167137652901714,0.0022889082148126972,0.0018076489097011161,1.2662349433724684,Arlington Stadium
ARL01,8,43615,98632.0,9130.0,9463.283375621584,9030.0,153.0,137.15723040343897,99249.0,72995.0,-0.004506580665386312,0.001249687002284291,-3.6061675100635404,0.08167137652901714,0.0017544595345028824,0.001296945131195335,1.3527631141079015,Arlington Stadium
ARL01,9,43615,98706.0,6682.0,6927.19547189704,6713.0,174.0,157.2799701729076,99249.0,72995.0,-0.003315793668706754,0.001090456790509243,-3.0407382461787225,0.08167137652901714,0.0024906941497232814,0.0018681857792495191,1.333215452867773,Arlington Stadium
ARL02,1,52169,113265.0,2125.0,2178.183868317282,4626.0,215.0,200.3887501178413,115712.0,82794.0,-5.7099740332224036e-05,0.0005547099201212853,-0.10293621631958445,0.07945676608600817,0.0031585062434411346,0.0030600677353052664,1.0321687350250919,Rangers Ballpark in Arlington
ARL02,2,52169,115561.0,1248.0,1353.5741846591186,30508.0,265.0,248.46130652911845,115712.0,82794.0,-0.0009187647650584184,0.0004394786350113924,-2.0905789084254383,0.07945676608600817,0.0005421100521463732,0.0005166728543426024,1.049232696453806,Rangers Ballpark in Arlington
ARL02,3,52169,114397.0,34454.0,35691.95819851423,37702.0,274.0,234.44058850512994,115712.0,82794.0,-0.005399050972818176,0.0017251939699276559,-3.129532717439639,0.07945676608600817,0.0010492655958535373,0.00040611778829130745,2.5836484539822746,Rangers Ballpark in Arlington
ARL02,4,52169,115385.0,7585.0,7905.014706914749,20264.0,439.0,382.267943408276,115712.0,82794.0,-0.0017539810106942944,0.0010190817175272438,-1.7211387276677388,0.07945676608600817,0.0027996474828130683,0.0009648476940789446,2.9016470682304383,Rangers Ballpark in Arlington
ARL02,5,52169,115150.0,2707.0,2912.5012023484605,10298.0,523.0,484.498247281023,115712.0,82794.0,-0.0017130692623996066,0.0006385480444661259,-2.6827570411430215,0.07945676608600817,0.003738760217418625,0.002137436481749532,1.7491795659622966,Rangers Ballpark in Arlington
ARL02,6,52169,115483.0,6066.0,5937.001797084848,18951.0,548.0,533.5020939165107,115712.0,82794.0,0.0031809422050217695,0.0008945146536716841,3.5560537683369002,0.07945676608600817,0.0007650206365621488,0.0012188097858898282,0.6276784494338654,Rangers Ballpark in Arlington
ARL02,7,52169,114546.0,8034.0,8279.392311288619,7522.0,145.0,118.02256051727869,115712.0,82794.0,-0.0007436334957985763,0.0010403647094819235,-0.7147815463376183,0.07945676608600817,0.0035864716142942447,0.0014442726500330982,2.4832372296270058,Rangers Ballpark in Arlington
ARL02,8,52169,115057.0,11055.0,11025.237865321746,10792.0,143.0,130.7012116410342,115712.0,82794.0,0.00335205148634532,0.0011785750861846888,2.8441560708674576,0.07945676608600817,0.001139620863506838,0.0010593460953480201,1.07577765992751,Rangers Ballpark in Arlington
ARL02,9,52169,114523.0,8834.0,8694.832151226688,8566.0,146.0,144.40387192009447,115712.0,82794.0,0.004052605555734293,0.0010632171529956855,3.811644257540245,0.07945676608600817,0.0001863329535262113,0.0014028503635255785,0.13282453950250828,Rangers Ballpark in Arlington
ARL03,1,12135,21084.0,436.0,423.58387261008716,482.0,16.0,18.389702181851717,22182.0,16429.0,0.0005404171145216817,0.001258054448681235,0.42956575932637736,0.08252313518686308,-0.0049578883440907,0.008896932788990987,-0.5572581542063083,Globe Life Field in Arlington
ARL03,2,12135,22182.0,225.0,259.42044017915697,8236.0,50.0,53.9574815785476,22182.0,16429.0,-0.002261216651521465,0.0009896868620237276,-2.284779901895124,0.08252313518686308,-0.0004805101479538126,0.0008918863096778021,-0.5387571742494837,Globe Life Field in Arlington
ARL03,3,12135,21970.0,6600.0,6636.817564576093,7143.0,35.0,43.54224931834383,22182.0,16429.0,-0.005803307096117871,0.003866888170227459,-1.5007693113029714,0.08252313518686308,-0.0011958909867484009,0.0009237932401463867,-1.2945439896906983,Globe Life Field in Arlington
ARL03,4,12135,21913.0,1263.0,1352.5746854197325,3320.0,42.0,49.5193454747688,22182.0,16429.0,-0.006245086944238337,0.002180327536013872,-2.86428843423028,0.08252313518686308,-0.002264863094809879,0.002119577809777536,-1.0685444452013733,Globe Life Field in Arlington
ARL03,5,12135,21955.0,645.0,596.2906815200276,2275.0,79.0,72.56454425384061,22182.0,16429.0,0.0026871598840658498,0.0014843934609363118,1.8102746709560875,0.08252313518686308,0.002828771756553579,0.0037443879159846584,0.7554697376512869,Globe Life Field in Arlington
ARL03,6,12135,22038.0,1120.0,1069.5826394767557,3501.0,89.0,97.79142471089531,22182.0,16429.0,0.002540617302978304,0.0019574159110917954,1.2979445444280742,0.08252313518686308,-0.0025111181693502752,0.0028246085925212536,-0.8890145615215467,Globe Life Field in Arlington
ARL03,7,12135,21801.0,1688.0,1641.3179774103091,1228.0,12.0,16.86209594369604,22182.0,16429.0,0.002005918001660195,0.0023781314916436727,0.8434848992617233,0.08252313518686308,-0.003959361517667785,0.003343931799021625,-1.1840437412109375,Globe Life Field in Arlington
ARL03,8,12135,22002.0,2455.0,2280.0872572946905,2113.0,20.0,23.681145376893486,22182.0,16429.0,0.00957556467844578,0.0027402170890576225,3.4944547702747433,0.08252313518686308,-0.0017421416833381382,0.002303041982757393,-0.7564524209203958,Globe Life Field in Arlington
ARL03,9,12135,21509.0,1780.0,1813.636626661156,1697.0,15.0,24.31773520267364,22182.0,16429.0,-0.003040066289794155,0.0024848849679591648,-1.2234233491665252,0.08252313518686308,-0.005490710196036322,0.0029058936787734043,-1.8895082900465872,Globe Life Field in Arlington
