park_id,start,end,n_seasons,woba_eff_pts,exp_run_eff_pts,run_eff_pts,conv_pts,se_pts,name
ANA01,1966,2025,60,-6.846676721127857,-5.216601663868363,-4.236894501990868,0.9797071618774947,1.8417372984305296,Angel Stadium of Anaheim
ARL01,1972,1993,22,-3.022399660944908,-2.264042558893716,-1.7032912698952094,0.5607512889985065,2.629463755551814,Arlington Stadium
ARL02,1994,2019,26,19.901478161492907,16.532670260601975,15.664510831034907,-0.8681594295670697,3.2449089522165173,Rangers Ballpark in Arlington
ATL01,1966,1992,27,12.957693740779511,9.963019589272358,14.702478227750586,4.739458638478227,3.298159726229475,Atlanta-Fulton County Stadium
ATL02,1997,2016,20,-10.026327421907455,-8.275671274463352,-2.3540727490589535,5.9215985254043995,2.3449396819469026,Turner Field
BAL11,1954,1962,9,-25.39118903770894,-19.963427348331845,-15.6879490869266,4.275478261405244,3.3429024949699255,Memorial Stadium
BAL11,1963,1991,29,-5.5800298534757555,-4.23221783931383,-6.672384210948969,-2.4401663716351383,2.174903173426062,Memorial Stadium
BAL12,1992,2005,14,-0.9050225849316408,-0.7623286945492564,-3.9963261830018513,-3.233997488452595,3.239928782700271,Oriole Park at Camden Yards
BAL12,2006,2025,20,11.79643655804801,9.664541599727842,3.958620408937392,-5.70592119079045,3.23896791674043,Oriole Park at Camden Yards
BOS07,1912,1936,25,-10.17725555701098,-7.932833163578011,-1.7267163085503034,6.206116855027708,2.9645183981107874,Fenway Park
BOS07,1937,1985,49,24.888100297089142,19.0238811716616,16.283330582984547,-2.7405505886770527,2.1195733788508253,Fenway Park
BOS07,1986,2025,40,13.273048763346804,10.759314882358247,10.214907250335612,-0.5444076320226341,2.026522044358591,Fenway Park
BOS08,1915,1952,37,-16.455416459430563,-13.096738602580096,-12.374292437841726,0.7224461647383704,3.0344248010859842,Braves Field
CHI10,1910,1990,81,-8.00097751611345,-6.1275389920222345,-2.5329148055516324,3.5946241864706017,1.6447198522452258,Comiskey Park I
CHI11,1916,1961,46,-1.9117090697511487,-1.3900981028223445,0.15902664250265686,1.5491247453250012,1.9658875778910696,Wrigley Field
CHI11,1962,1991,30,17.90670584242293,13.577563050269237,19.33893347998857,5.7613704297193316,2.386133379281053,Wrigley Field
CHI11,1992,2025,34,-2.051682191064113,-1.7071873703921907,0.6237927441147635,2.330980114506954,2.79515512078029,Wrigley Field
CHI12,1991,2025,35,1.669078187213646,1.418262803790652,1.2907534656045778,-0.12750933818607402,2.283965082042971,Guaranteed Rate Field;U.S. Cellular Field
CIN07,1919,1952,34,-17.209011355115333,-13.616958055831006,-7.756151459397095,5.860806596433912,2.283014375600209,Crosley Field
CIN07,1953,1970,17,15.154408471222485,11.436313054949348,11.888283367193507,0.4519703122441588,3.558972349119461,Crosley Field
CIN08,1975,2002,28,8.273892185677772,6.403477669383506,5.648736204460642,-0.7547414649228639,1.934927713114937,Cinergy Field
CIN09,2003,2025,23,7.727399973814995,6.353225517373326,8.054539590996352,1.7013140736230268,3.1123554886801297,Great American Ballpark
CLE06,1910,1946,30,11.055682485936162,8.355351478882584,5.810429520930669,-2.5449219579519142,2.414731081429763,League Park IV
CLE07,1932,1951,12,-19.683166366909518,-15.015894532884229,-14.165470058910666,0.8504244739735625,4.975830120279512,Cleveland Stadium
CLE07,1952,1993,42,-0.8063003047991624,-0.5971666181552839,0.24895590039450974,0.8461225185497936,2.195327257110369,Cleveland Stadium
CLE08,1994,2025,32,1.955885732639249,1.6879026038000329,0.36827956089929553,-1.3196230429007372,2.7510961589054954,Progressive Field
DEN02,1995,2002,8,56.462758107609545,47.810327348142486,70.55798389908618,22.7476565509437,7.5020940774055225,Coors Field
DEN02,2003,2025,23,33.99997564846137,27.774623119715372,38.540077959955454,10.765454840240084,3.438173312472636,Coors Field
DET04,1912,1999,88,6.979727965369743,5.365848272714227,4.780567034065367,-0.5852812386488594,1.4760927160611221,Tiger Stadium
DET05,2007,2025,19,5.749252905591569,4.666356417221444,3.2291416951679643,-1.4372147220534794,3.2128626450423217,Comerica Park
HOU02,1965,1999,35,-12.87398507347175,-10.054440305114683,-12.457623637491018,-2.4031833323763343,2.357622112778009,Astrodome
HOU03,2000,2025,26,-0.30581602287727866,-0.20571413121659188,-1.8210424093505904,-1.6153282781339986,3.00920932011399,Minute Maid Park
KAN05,1955,1972,17,7.03139243295432,5.468843915615293,6.757808890412859,1.2889649747975658,3.313207520680321,Municipal Stadium
KAN06,1973,2025,53,2.1762934031354053,1.8628096056517864,6.033754792211598,4.170945186559812,2.0326393843394124,Kauffman Stadium
LOS03,1962,2003,42,-19.386038057833296,-15.192696496570452,-13.84466130303137,1.3480351935390833,2.0343291324897224,Dodger Stadium
