bat_id,meso,conv,meso_rt,pa,diff,name,hand_delta,meso_hand
aaroh101,-2.5035750152950453,-1.4529514987816994,-0.9097823739616208,13931,-1.050623516513346,Henry Louis Aaron,0.7591775660127623,-1.7443974492822831
abreb001,-0.5817910577437667,-0.6504199709706212,-1.0998405922794432,10081,0.0686289132268545,Bob Kelly Abreu,0.2912565817763915,-0.2905344759673752
abrej003,0.029668762633056234,-0.1812631018011325,-0.504712489920095,6220,0.21093186443418874,Jose Dariel (Correa) Abreu,0.6780105434574821,0.7076793060905384
acunr001,1.4906840540072488,0.7837808155033865,1.986403031888682,3666,0.7069032385038623,Ronald Jose (Blanco) Acuna Jr.,1.4001945870724362,2.890878641079685
adaij101,-1.6994029096089944,-1.310366839036022,-1.491195113746352,4314,-0.3890360705729725,Kenneth Jerry Adair,-0.010302417536581059,-1.7097053271455755
adamb103,-2.171965932714104,0.6666144747921247,1.0114036429054634,4530,-2.8385804075062286,Robert Henry Adams,0.18253788624767436,-1.9894280464664296
adams101,0.8127702881057449,0.2745375123101237,0.844649862533658,6175,0.5382327757956212,Earl John Adams,-0.5110578347627153,0.30171245334302965
adamw002,-0.4077385057582177,-1.7707594457069218,-3.2708472700591975,4296,1.363020939948704,Willy Rafael (Luna) Adames,0.012127398040166286,-0.3956111077180514
adcoj101,-7.154914953585018,-3.8304479821032604,-5.3618558929822555,7298,-3.3244669714817574,Joseph Wilbur Adcock,0.9350385392080762,-6.219876414376942
ageet101,-3.5857240242395845,-1.8190842356638903,-5.308721458111564,4324,-1.7666397885756941,Tommie Lee Agee,-0.09623707499415365,-3.681961099233738
ahmen001,5.043262916959671,2.463284363593543,4.899969514027316,3401,2.579978553366128,Nicholas Mark Ahmed,0.699667965024883,5.742930881984554
ainse101,-0.23598207846529526,-0.9066041013822581,-0.05329029686025942,3419,0.6706220229169628,Edward Wilbur Ainsmith,-1.1976480532996898,-1.433630131764985
albio001,1.3262894030353745,0.6977842236523563,1.9910527793369055,4471,0.6285051793830182,Ozhaino Jurdy Jiandro Albies,-1.2302067678753348,0.09608263516003968
alfoe001,-1.7588805280781896,-2.3612172726817597,-1.1273912206267944,6103,0.6023367446035701,Edgardo Antonio Alfonzo,-0.034211140354910005,-1.7930916684330995
alicl001,1.0405234582782708,1.9153041734102878,2.651167765455154,4614,-0.874780715132017,Luis Rene (de Jesus) Alicea,-0.48494109645311184,0.555582361825159
alleb105,-0.09739463128711394,-0.14113172671092017,0.28902078610159243,3823,0.04373709542380623,Bernard Keith Allen,-1.3864139511957396,-1.4838085824828535
alled101,-0.45653366105972737,0.13885420382799843,-0.15035974390995407,7315,-0.5953878648877258,Richard Anthony Allen,0.8362491657562033,0.37971550469647597
allee101,3.246667822514329,2.590177079137532,3.5507885271867035,4765,0.6564907433767972,Ethan Nathan Allen,-1.1931484367895806,2.0535193857247487
alleg101,0.9664054361450022,-1.052753144877771,1.8597927631167368,4332,2.019158581022773,Leonard Eugene Alley,0.2740279836885852,1.2404334198335873
allib103,1.472990764217818,2.0889428656842193,1.1190451879992915,5923,-0.6159521014664013,William Robert Allison,0.8338610480027293,2.3068518122205472
almob001,-2.8728158112482625,-2.6309884813532265,-3.195267230638172,3659,-0.24182732989503597,William Francis Almon,0.11362132971172623,-2.7591944815365363
alomr001,-1.0638873248353644,0.05961350935910884,-0.54126724911026,10400,-1.1235008341944732,Roberto (Velazquez) Alomar,0.160032447145098,-0.9038548776902664
aloms001,-0.1995811646518426,1.3136024480746176,1.6004844065869295,4865,-1.5131836127264602,Santos (Velazquez) Alomar,-0.5714639850263507,-0.7710451496781933
aloms101,-2.7595177663040102,-2.956707230693223,-4.070273074957453,5160,0.1971894643892127,Santos (Conde) Alomar,-0.526299058603723,-3.2858168249077333
alonp001,-3.2057210267545577,-2.9644681052647455,-2.1478372319002994,4316,-0.24125292148981226,Peter Morgan Alonso,-0.7061384274960484,-3.911859454250606
alony001,-3.7785290602427257,-1.973893869163713,-2.168822439021119,3773,-1.8046351910790128,Yonder Alonso,-0.06331870340515612,-3.841847763647882
alouf101,-0.7216975272401298,-1.2310775082506462,-1.5608227903553755,7893,0.5093799810105164,Felipe Rojas Alou,0.18137530790084708,-0.5403222193392827
alouj101,-3.764951376916717,-1.3103212323551197,-4.213008212885735,4577,-2.4546301445615972,Jesus Maria Rojas Alou,0.5309543278439165,-3.2339970490728005
aloum001,0.09038067543103091,-0.18308680379766235,1.1908587421312482,7913,0.27346747922869324,Moises Rojas Alou,0.23831269037142813,0.32869336580245906
aloum101,-0.11826759984410948,-1.0034103072932565,0.39887555382103584,6219,0.885142707449147,Mateo Rojas Alou,-0.45216616044739616,-0.5704337602915056
altmg101,1.9443559157028993,2.742718693066103,2.872855798776499,3419,-0.7983627773632038,George Lee Altman,-0.8531014004702303,1.0912545152326691
altuj001,-1.3344612536485119,-1.446301063615831,-2.31578307579203,8696,0.11183980996731924,Jose Carlos Altuve,-0.34421881818353184,-1.6786800718320438
alvap001,-0.34235955997242146,-1.8984880079675863,-5.38114160586214,3321,1.556128447995165,Pedro Manuel Alvarez,2.0084901026569004,1.666130542684479
alvim101,-0.308506621624768,0.01578886876807225,-1.844539899092189,3984,-0.3242954903928402,Roy Maxwell Alvis,0.8838525037664904,0.5753458821417223
andeb001,-1.8902845230464145,-0.8265885323307653,-1.7593742527662495,7737,-1.0636959907156491,Brady Kevin Anderson,0.1600436667730418,-1.7302408562733727
andeg001,-3.5746895038261775,-0.4570428086537076,-1.8060254195821195,9175,-3.11764669517247,Garret Joseph Anderson,-0.8163604989396953,-4.391050002765873
andem003,-0.9160996609986076,-1.133772050036951,-2.510663427842525,3508,0.2176723890383434,Marlon Ordell Anderson,-0.07077787472412546,-0.9868775357227331
