pit_id,meso,conv,meso_rt,pa,diff,name
aased001,-1.8566732815083664,-0.9612999673700253,0.946114289930311,4730,-0.8953733141383411,Donald William Aase
abbog001,1.8184813158354503,0.27549497610848095,-0.3652948266327348,5508,1.5429863397269692,William Glenn Abbott
abboj001,-2.251379767295101,-0.7486630173060815,-2.0137702738021197,7211,-1.5027167499890193,James Anthony Abbott
abbop001,-4.103269796684491,-0.9805215528407185,-4.945884465058902,3187,-3.1227482438437724,Paul David Abbott
abert101,4.060461218891124,2.248089941610792,3.762392306841798,4969,1.8123712772803322,Theodore Wade Abernathy
ackej001,3.363188102953294,2.8784550429380142,3.3750946770938564,3868,0.4847330600152797,James Justin Acker
adamb104,0.2307912573027624,-0.2889096936896538,-0.4237097160234738,11392,0.5197009509924162,Charles Benjamin Adams
adamt001,0.36584025956660804,-1.2378394019557877,0.07992693174879259,3801,1.6036796615223956,Terry Wayne Adams
affej001,0.5768293647195257,0.9333755926459032,1.5044264443715707,4033,-0.35654622792637747,Jeremy David Affeldt
aguih101,0.8666086866207383,1.6724718622243329,1.5615450007588052,5789,-0.8058631756035946,Henry John Aguirre
aguir001,0.9453026139544101,-0.0283561552697,0.12442943845002724,5391,0.9736587692241101,Richard Warren Aguilera
akerj102,1.4009105391678758,0.13141823512122072,0.599494912571808,3145,1.269492304046655,Jackie Delane Aker
albem001,1.649012004778789,1.002806519550451,2.3014041903666462,3288,0.6462054852283381,Matthew James Albers
alcas001,-2.079618542036306,-0.18015241572488008,-1.8748826100047045,4425,-1.8994661263114259,Sandy (Montero) Alcantara
aldrv101,0.2534236313373353,1.598185440331873,-0.5671936358037902,6853,-1.3447618089945377,Victor Eddington Aldridge
alexd001,0.9233756359510565,0.07097821225808434,-0.5832995117200541,14162,0.8523974236929722,Doyle Lafayette Alexander
alexg102,2.623732275807242,1.8431675694868759,2.5468581782472093,20939,0.780564706320366,Grover Cleveland Alexander
allej102,-0.08844882473694005,-2.1487031585147034,-1.6480703653126603,8296,2.0602543337777632,John Thomas Allen
allen001,-2.5087092812277634,-0.3914185329152603,-2.3132552374211666,4248,-2.117290748312503,Neil Patrick Allen
alvaw001,-1.4836085408927409,-1.9140598393957537,-4.076412281913241,7518,0.4304512985030129,Wilson Eduardo (Fuenmayor) Alvarez
amesr101,1.1609473958012113,-0.49180435729727473,1.2183971941207075,8335,1.652751753098486,Leon Kessling Ames
andea001,4.610189246855752,3.3402581996820415,7.189506074650688,3474,1.2699310471737104,Allan Lee Anderson
andeb002,2.1324257663721333,1.7225798656577367,0.4802284360703554,6532,0.40984590071439664,Brian James Anderson
andeb004,-3.3051366964336806,-1.673347192523664,-4.174898376648191,4828,-1.6317895039100165,Brett Franklin Anderson
andeb102,1.4663630409301696,1.3738863234672034,1.2995327916515318,3633,0.09247671746296615,Robert Carl Anderson
andec001,3.6752703283526413,2.5597758676597233,4.300304658366252,4677,1.115494460692918,Robert Chase Anderson
andel001,-1.206082329687085,-0.2715437116112285,-1.1231413922365914,4171,-0.9345386180758566,Larry Eugene Andersen
andet002,3.663764221358827,3.6614899585859675,6.491104855731496,5346,0.002274262772859359,Tyler John Anderson
andri101,0.3052413065598905,2.113562458721524,-0.29354368613658427,4546,-1.8083211521616334,Ivy Paul Andrews
andrn101,-3.3150997085358593,0.5975549530813288,1.06837548535403,3316,-3.912654661617188,Nathan Hardy Andrews
anduj001,-3.528921642024743,-2.8544255911239906,-5.779494493828141,9008,-0.6744960509007525,Joaquin Andujar
antoj103,-2.0251375604315918,-2.101381614631193,-5.476229146566847,8414,0.07624405419960123,John August Antonelli
appik001,-1.2729100454680318,0.4767539059374774,-1.5586091228780197,10958,-1.7496639514055092,Robert Kevin Appier
applp101,-0.7745274889707803,-1.774396344056151,-2.6232367711725546,5039,0.9998688550853707,Peter William Appleton
archc001,-2.5148976128006546,-2.2192923031081353,-3.5487676775952512,5723,-0.2956053096925193,Christopher Alan Archer
arlis101,-4.6084750731864865,-3.162425921106663,-4.652861679621304,3474,-1.4460491520798233,Stephen Ralph Arlin
armat002,-1.1621536792696572,0.8867848333821619,-0.452981152400529,4055,-2.048938512651819,Antonio Jose Armas
armsj001,0.8544518517498145,1.7837502479044316,2.3866291559040644,3450,-0.9292983961546171,Jack William Armstrong
arrij001,1.401051290198733,0.45607181409346637,0.21034060265982954,6755,0.9449794761052668,Jacob Joseph Arrieta
arrob001,2.9049988917687903,1.7863540628782673,1.7199634625783635,10338,1.118644828890523,Bronson Anthony Arroyo
arror001,0.881576800704935,3.6386165291478347,-2.086397596371747,3040,-2.7570397284428996,Luis Rolando Arrojo
ashba002,-2.3581688691275184,-2.6649294728417328,-3.9066093426095625,7692,0.3067606037142143,Andrew Jason Ashby
assep001,2.937648962687613,2.773943148328365,2.634453937724181,3664,0.1637058143592478,Paul Andre Assenmacher
astap001,6.457319472883616,4.570173666865651,4.920343797913591,9472,1.8871458060179647,Pedro Julio (Pura) Astacio
auguj001,-2.512959175775469,-1.0899404739992689,-2.481950383233317,4101,-1.4230187017762,Gerald Lee Augustine
aukee101,3.170737320679874,1.5768096502331557,1.7853390846422612,8685,1.5939276704467185,Elden LeRoy Auker
avers001,1.5768391500767778,1.6967888808741587,-0.07950984759216952,6609,-0.11994973079738092,Steven Thomas Avery
ayerd101,-2.4805886325831756,-0.7948659887869487,0.5852601118029056,5901,-1.685722643796227,Yancey Wyatt Ayers
baezd001,-1.5135321385902698,-0.34728718992967395,0.7665879293375983,3013,-1.166244948660596,Danys Baez
bagbj101,3.8978178792346867,3.1715986938021743,6.094609623392868,7676,0.7262191854325124,James Charles Jacob Bagby Sr.
