season,date,gamenum,runs,druns,out,station
1950,19500421,0,2,-4.911640853328866,0.08858517940636465,midway
1950,19500422,0,13,0.22913782821108825,7.048151377592783,midway
1950,19500428,0,4,-3.558232237332038,-3.4979184431192736,midway
1950,19500502,0,18,8.842620937835703,-4.933906014505081,midway
1950,19500503,0,7,2.137501785361054,3.715878191741902,midway
1950,19500504,0,12,-3.723934075759094,2.5659270161661594,midway
1950,19500505,0,13,3.201152035274519,14.538242839607227,midway
1950,19500506,0,9,1.7664087848425747,12.316354939193653,midway
1950,19500507,1,7,1.7975124679576442,-5.3728136262483766,midway
1950,19500507,2,7,3.098532900462483,-5.3728136262483766,midway
1950,19500509,0,6,-1.4901823258902425,7.778641330849325,midway
1950,19500510,0,9,-2.833588863247406,2.817041582487658,midway
1950,19500511,0,3,-7.197567178969031,1.6078159291404905,midway
1950,19500512,0,9,4.593526891500898,5.3300203680313585,midway
1950,19500513,0,7,0.9269315853154142,-4.8113042360028135,midway
1950,19500514,1,11,3.2557303139727933,6.1,midway
1950,19500514,2,25,13.192766706401372,6.1,midway
1950,19500530,1,5,-1.139819050562918,3.4570337744884663,midway
1950,19500530,2,11,2.6041987808606795,3.4570337744884663,midway
1950,19500601,0,12,-3.185036017701703,5.522594562454222,midway
1950,19500603,0,8,2.002562751792603,-2.66,midway
1950,19500604,0,21,3.9581359069798925,5.755849198858497,midway
1950,19500605,0,14,-2.6477944330387038,6.756324630136776,midway
1950,19500606,0,13,3.618948141415578,6.28,midway
1950,19500607,0,17,6.406249311686749,5.156651771886211,midway
1950,19500608,0,11,2.905241076530028,4.7293925459429955,midway
1950,19500609,0,12,4.1595574528679204,6.602426365119496,midway
1950,19500610,0,23,11.954529650044252,2.1577339780756533,midway
1950,19500611,1,9,4.153246670798362,-0.7685235896184376,midway
1950,19500611,2,3,-2.9737307535273114,-0.7685235896184376,midway
1950,19500627,1,5,-2.630397965655292,-1.7520209460407905,midway
1950,19500627,2,5,-8.580244909325236,-1.7520209460407905,midway
1950,19500628,0,18,4.727756838489118,6.863104463288272,midway
1950,19500629,0,7,-2.974027891124608,1.8129808076197729,midway
1950,19500705,0,5,-10.311054586740674,-1.2913372894140325,midway
1950,19500706,0,6,-2.9558470944312196,-3.185633700769684,midway
1950,19500707,0,9,-2.2526144349864703,-2.2995798411425334,midway
1950,19500708,0,6,-0.6005016036608359,0.9919362155256544,midway
1950,19500709,1,6,-3.5994993476308714,-1.324007756657607,midway
1950,19500709,2,11,2.472959773329219,-1.324007756657607,midway
1950,19500713,0,10,-4.9857288780889,3.8576374173141627e-16,midway
1950,19500714,0,1,-5.527081005511515,3.3322574957112296,midway
1950,19500715,0,18,6.938182658930055,5.595630005495826,midway
1950,19500716,1,8,-0.32334629919745506,6.952210434136068,midway
1950,19500716,2,13,4.9515522027057,6.952210434136068,midway
1950,19500718,1,7,2.408332508195787,-3.024753351230812,midway
1950,19500718,2,11,0.24292783137318577,-3.024753351230812,midway
1950,19500719,0,14,6.487353339489019,0.7280175473364304,midway
1950,19500721,0,7,-4.894957555724278,-2.524189512766783,midway
1950,19500722,0,7,-4.252606656638276,-1.2190111114230735,midway
1950,19500723,1,8,2.9429591597577667,3.212256087917865,midway
1950,19500723,2,3,-10.000880298975275,3.212256087917865,midway
1950,19500814,0,13,-0.9193130414777048,3.992563254669715,midway
1950,19500815,0,5,-4.040139508308611,3.9524697981667116,midway
1950,19500816,0,7,-2.1441632796974295,4.487108314034483,midway
1950,19500817,0,3,-4.84807869599871,1.390902861867194,midway
1950,19500818,0,12,-1.3961800727515288,-3.1121343447823113,midway
1950,19500819,0,21,10.258361391954052,2.4262979596951584,midway
1950,19500820,1,6,-1.3728456186870233,-0.5012301373525498,midway
1950,19500820,2,7,-3.7146329056564347,-0.5012301373525498,midway
1950,19500822,0,11,-2.6242416466020138,6.8496317990982565,midway
1950,19500823,0,9,2.7492813043860043,6.375726272065705,midway
1950,19500824,1,20,9.077032156264204,6.687860616848018,midway
1950,19500824,2,7,-1.6907986691969754,6.687860616848018,midway
1950,19500825,0,13,4.862500978780863,-5.453395147737908,midway
1950,19500826,0,16,4.657519555527715,1.3979358435308211,midway
1950,19500827,1,7,-3.6137949361013666,3.7094640750120775,midway
1950,19500827,2,8,-3.8311894023371176,3.7094640750120775,midway
1950,19500828,1,12,6.269150642447706,5.104271208749459,midway
1950,19500828,2,14,4.924608413311501,5.104271208749459,midway
1950,19500829,0,10,-6.290650688922391,-3.217868235061524,midway
1950,19500830,0,11,-2.4074216853258354,-3.027154616470741,midway
1950,19500902,0,6,-5.5185271964957305,-4.617280354950903,midway
1950,19500903,0,12,-3.3066280324980264,1.73760926058037,midway
1950,19500923,1,2,-5.345642498033822,-5.239706720070399,midway
1950,19500923,2,3,-6.029357434057481,-5.239706720070399,midway
1950,19500924,0,11,6.85273161258883,3.627782506581769,midway
1950,19500927,0,11,6.225585332737173,5.570158267911114,midway
1951,19510417,0,11,6.0925482578661185,3.9922034611053285,midway
1951,19510419,0,3,-4.124177208438457,-4.081255909875853,midway
1951,19510423,0,3,-4.429352843167487,4.552284992797892,midway
1951,19510424,0,10,0.26644686876942814,-2.731453949075289,midway
1951,19510427,0,3,-8.067370539209614,2.4475515451981984,midway
1951,19510428,0,10,-0.784826459988344,4.932397807556805,midway
1951,19510429,0,9,-1.1146847942132168,-2.8327316536399474,midway
1951,19510515,0,12,0.9335703573269267,5.828549263592537,midway
1951,19510516,0,18,3.1607109124014032,6.300918793397694,midway
1951,19510517,0,7,2.659157795115359,-3.3514153505371036,midway
1951,19510518,0,27,14.014222906436089,-0.6623797735925656,midway
1951,19510519,0,3,-5.825183472176223,3.4919519259379457,midway
1951,19510520,1,7,-1.3152167389934015,3.4251842687251015,midway
1951,19510520,2,9,2.7801703064015975,3.4251842687251015,midway
1951,19510523,0,3,-2.5151148423653678,-2.8822304504684935,midway
1951,19510525,0,11,1.6698776371962303,6.325193699041505,midway
1951,19510526,0,9,-2.979525654428629,4.966781604902296,midway
1951,19510612,0,11,-3.4409585307531887,-0.3189336071812948,midway
1951,19510613,0,5,-1.4842500476837013,-5.047229806860372,midway
1951,19510614,0,14,5.175517409172023,-4.314269949157041,midway
1951,19510615,0,3,-4.434679404467862,-2.4575899619223454,midway
1951,19510616,0,10,-0.05891838939590183,2.8976215029025028,midway
1951,19510617,0,5,-3.9971317145107625,-3.2028504748505213,midway
1951,19510618,0,9,0.823218908845859,2.262741699796952,midway
1951,19510619,0,3,-7.490135523995626,0.6806595039990089,midway
1951,19510620,0,9,-0.11183940881098753,0.5768941538605048,midway
1951,19510622,0,15,7.085487169940077,-3.2613288731879337,midway
1951,19510623,0,11,4.213737814639629,-1.7819913864320494,midway
1951,19510624,0,17,2.823549642986046,5.8986416772771,midway
1951,19510704,0,15,3.508423805863087,0.9578307498059127,midway
1951,19510705,0,12,-0.5297327823357796,-2.165136564103419,midway
1951,19510706,0,6,-2.076241988254571,2.5209557809921135,midway
1951,19510707,0,14,6.66834612542071,6.490286981967512,midway
1951,19510724,0,9,1.7070854207835127,1.7612489168102787,midway
1951,19510725,0,8,-2.8646020009355855,3.3516711446105147,midway
1951,19510726,0,10,-4.001682674937332,2.808116515020334,midway
1951,19510727,0,2,-8.587287519356975,0.3275230867899734,midway
1951,19510728,0,1,-3.920183443887758,-4.095772640687201,midway
1951,19510729,1,9,-7.54941229991507,-2.5386625237952694,midway
1951,19510729,2,14,3.384781025302457,-2.5386625237952694,midway
1951,19510730,0,13,3.3967646583239786,3.117107915523872,midway
1951,19510731,0,7,-1.1300035786207066,-1.5215911597820675,midway
1951,19510801,1,5,-3.9537056925715195,-2.5267005805263203,midway
1951,19510801,2,2,-5.970587227591602,-2.5267005805263203,midway
1951,19510802,0,9,-3.2660330424685986,3.9993742733433644,midway
1951,19510803,0,3,-3.986964565919477,-5.213979188412275,midway
1951,19510804,0,13,0.39231558411456513,-2.509375532935782,midway
1951,19510805,1,11,0.06025244830929685,0.7740558998458489,midway
1951,19510805,2,7,0.014663956069888375,0.7740558998458489,midway
1951,19510807,0,5,-4.0109847672162,0.8061017305526643,midway
1951,19510808,1,12,2.3527398454051056,0.1414213562373097,midway
1951,19510808,2,7,-6.810322043059063,0.1414213562373097,midway
1951,19510809,0,9,1.180831146438643,-1.4973347692346832,midway
1951,19510810,0,3,-8.574704429074721,-1.5203224175477885,midway
1951,19510811,1,7,-1.8424301483665206,2.0576590233274787,midway
1951,19510811,2,3,-8.301819116454244,2.0576590233274787,midway
1951,19510812,1,1,-8.663255022541005,-3.2506637000468883,midway
1951,19510812,2,6,-0.6494560379406036,-3.2506637000468883,midway
1951,19510901,0,7,-2.9310108754698945,-3.028153896777618,midway
1951,19510902,1,7,-5.153308135705975,-1.9248479841312025,midway
1951,19510902,2,3,-4.1854491085979015,-1.9248479841312025,midway
1951,19510903,1,21,2.998700584443166,-2.196989594206138,midway
1951,19510903,2,7,-0.6899069677499726,-2.196989594206138,midway
1951,19510905,1,5,-4.132067128299087,2.1192387737908143,midway
