candidate,gain,mean_pre,mean_post,series,case
1930,79.89268708177022,-0.005787873269568098,0.014924891406061312,raw,Fenway 1934/35 (screen said 1937)
1931,90.39010646819165,-0.006363613602996529,0.015380598261163655,raw,Fenway 1934/35 (screen said 1937)
1932,94.84312019333619,-0.006289326146580863,0.015674676878567224,raw,Fenway 1934/35 (screen said 1937)
1933,100.3067990298311,-0.006261634032894972,0.01601531812954591,raw,Fenway 1934/35 (screen said 1937)
1934,101.37113593299179,-0.0058277824401007,0.016248648501835872,raw,Fenway 1934/35 (screen said 1937)
1935,105.01508916531964,-0.005596499686409901,0.016572629948730298,raw,Fenway 1934/35 (screen said 1937)
1936,103.3903360830312,-0.004965022257249741,0.016746603856092834,raw,Fenway 1934/35 (screen said 1937)
1937,114.58837998289056,-0.00526928544793524,0.017332792657812325,raw,Fenway 1934/35 (screen said 1937)
1938,114.28804769375316,-0.004810323404872433,0.017542780271875214,raw,Fenway 1934/35 (screen said 1937)
1939,114.01280397877903,-0.00437698159442594,0.017753971925392915,raw,Fenway 1934/35 (screen said 1937)
1940,112.14606680908298,-0.0038437585624969337,0.017923304842133968,raw,Fenway 1934/35 (screen said 1937)
1930,74.71147991097988,-0.005269285447935199,0.014760588973488495,shrunk,Fenway 1934/35 (screen said 1937)
1931,78.66404063232642,-0.005269285447935199,0.015015543376454304,shrunk,Fenway 1934/35 (screen said 1937)
1932,83.29666413650392,-0.005269285447935199,0.015314364278381037,shrunk,Fenway 1934/35 (screen said 1937)
1933,88.39655841234507,-0.005269285447935199,0.015643325828108446,shrunk,Fenway 1934/35 (screen said 1937)
1934,94.31778387012525,-0.0052692854479352,0.01602526619736355,shrunk,Fenway 1934/35 (screen said 1937)
1935,100.6386227948887,-0.005269285447935199,0.016432983074577547,shrunk,Fenway 1934/35 (screen said 1937)
1936,107.65411737468314,-0.005269285447935199,0.01688550774357037,shrunk,Fenway 1934/35 (screen said 1937)
1937,114.5883799828899,-0.005269285447935199,0.0173327926578123,shrunk,Fenway 1934/35 (screen said 1937)
1938,108.060842231899,-0.004402805657016434,0.017332792657812304,shrunk,Fenway 1934/35 (screen said 1937)
1939,102.05115664681114,-0.0036050667073697683,0.017332792657812294,shrunk,Fenway 1934/35 (screen said 1937)
1940,96.16637538238619,-0.0028239078333628692,0.017332792657812297,shrunk,Fenway 1934/35 (screen said 1937)
1980,19.179455444108136,0.016954455366882903,0.009110047732132389,raw,Fenway 1985 (screen said 1986)
1981,19.158833136596762,0.016861571712060278,0.009025045032493689,raw,Fenway 1985 (screen said 1986)
1982,22.472293114929933,0.017123938317802123,0.00863696918378753,raw,Fenway 1985 (screen said 1986)
1983,24.68079998178444,0.017225434005114452,0.008327545200633885,raw,Fenway 1985 (screen said 1986)
1984,25.96773728677045,0.017234432117592083,0.008098776554743994,raw,Fenway 1985 (screen said 1986)
1985,29.753141210172018,0.01743110740575589,0.0076373631757829345,raw,Fenway 1985 (screen said 1986)
1986,29.830133108738863,0.017332792657812325,0.007506364547498512,raw,Fenway 1985 (screen said 1986)
1987,27.23556399495296,0.017040435977181488,0.0076273412500046135,raw,Fenway 1985 (screen said 1986)
1988,26.177288625381514,0.01686494997007613,0.0076074985347620045,raw,Fenway 1985 (screen said 1986)
1989,27.696582272484584,0.016884588089943888,0.007327606383311407,raw,Fenway 1985 (screen said 1986)
1990,29.558527237331596,0.016917961522681615,0.007002068071483971,raw,Fenway 1985 (screen said 1986)
1980,22.95524366617089,0.0173327926578123,0.008750902113398268,shrunk,Fenway 1985 (screen said 1986)
1981,24.020380093464745,0.0173327926578123,0.008558158333170748,shrunk,Fenway 1985 (screen said 1986)
1982,24.77779948857132,0.0173327926578123,0.00842109807150888,shrunk,Fenway 1985 (screen said 1986)
1983,25.948755699714965,0.0173327926578123,0.008209205471806768,shrunk,Fenway 1985 (screen said 1986)
1984,27.18838825034985,0.0173327926578123,0.007984885414976592,shrunk,Fenway 1985 (screen said 1986)
1985,28.502106707848952,0.0173327926578123,0.007747159002505315,shrunk,Fenway 1985 (screen said 1986)
1986,29.859530944656285,0.0173327926578123,0.007501523727933565,shrunk,Fenway 1985 (screen said 1986)
1987,28.32255945756107,0.017119933402045037,0.0075208339504434125,shrunk,Fenway 1985 (screen said 1986)
1988,27.052735962983494,0.016928408414591402,0.007517431489295364,shrunk,Fenway 1985 (screen said 1986)
1989,26.25940658637428,0.01677783441513404,0.007472111476070674,shrunk,Fenway 1985 (screen said 1986)
1990,25.520195104962465,0.016631730771136256,0.007418065064954164,shrunk,Fenway 1985 (screen said 1986)
1957,65.75317769978028,-0.0012470759038299007,0.01463695265601258,raw,Wrigley 1962
1958,68.24513596861325,-0.001191096718258102,0.015020709641092223,raw,Wrigley 1962
1959,70.10843713173952,-0.0011081053546342886,0.015362204611301252,raw,Wrigley 1962
1960,76.64574475901,-0.0012493524157084271,0.016024614060191306,raw,Wrigley 1962
1961,81.91460198729408,-0.0012943627808335502,0.016634638355531896,raw,Wrigley 1962
1962,84.78628550648781,-0.0012205937847790307,0.017105286542945457,raw,Wrigley 1962
1963,84.31379467064357,-0.000997778173780695,0.017377194496800526,raw,Wrigley 1962
1964,87.27288975478307,-0.000922597602244479,0.01788892127290876,raw,Wrigley 1962
1965,81.0525262908193,-0.00047644559858812035,0.01777706424563983,raw,Wrigley 1962
1966,79.31280758827947,-0.00020746044143714391,0.018000203669733737,raw,Wrigley 1962
1967,77.3824266303265,6.602088446209007e-05,0.018221984147867843,raw,Wrigley 1962
1957,65.28900258521577,-0.0012205937847790003,0.014607269968477955,shrunk,Wrigley 1962
1958,68.78782433477379,-0.0012205937847790003,0.015055543441084122,shrunk,Wrigley 1962
1959,72.27067647711648,-0.0012205937847790003,0.015501770867393854,shrunk,Wrigley 1962
1960,76.05843019931912,-0.0012205937847790003,0.015987062670168087,shrunk,Wrigley 1962
1961,80.31889923530002,-0.0012205937847790005,0.016532919357474734,shrunk,Wrigley 1962
1962,84.78628550648693,-0.0012205937847790005,0.017105286542945398,shrunk,Wrigley 1962
1963,80.24625772532745,-0.0008209770468576923,0.017105286542945398,shrunk,Wrigley 1962
1964,75.923742693956,-0.00044050594850434006,0.017105286542945398,shrunk,Wrigley 1962
1965,71.88649563355405,-8.514435641113448e-05,0.017105286542945398,shrunk,Wrigley 1962
1966,67.69890501275667,0.00028345059152672477,0.0171052865429454,shrunk,Wrigley 1962
1967,63.62820077611731,0.0006417571100108073,0.0171052865429454,shrunk,Wrigley 1962
1987,37.41992735227039,0.016953098153507408,0.0037088664402454485,raw,Wrigley 1992
1988,41.17479736089487,0.017066852692491797,0.0032629795630128374,raw,Wrigley 1992
1989,44.9126961269343,0.01714800544375306,0.0028073449890326546,raw,Wrigley 1992
1990,45.86010909980243,0.016971288551160067,0.0025389409523981945,raw,Wrigley 1992
1991,52.15965061721143,0.017228370568117504,0.0018839424863503049,raw,Wrigley 1992
1992,54.098056614750845,0.017105286542945457,0.001510036223258539,raw,Wrigley 1992
1993,49.40932215451229,0.016499138081973782,0.0016086330885462543,raw,Wrigley 1992
1994,50.75909111809991,0.016361104750663883,0.0012669184488583,raw,Wrigley 1992
1995,43.149296823249834,0.015626109012395993,0.0016991716730021152,raw,Wrigley 1992
1996,41.14822497054984,0.01528350326287429,0.0016607128239299732,raw,Wrigley 1992
1997,35.593984753261296,0.014652798879293773,0.0019464019173912055,raw,Wrigley 1992
1987,38.52291641570041,0.017105286542945398,0.0036672790320378484,shrunk,Wrigley 1992
1988,41.20714553901205,0.017105286542945398,0.0032959921059213136,shrunk,Wrigley 1992
1989,44.06135903419656,0.017105286542945398,0.0029011926657751814,shrunk,Wrigley 1992
1990,46.997710496741945,0.017105286542945398,0.0024950317687571183,shrunk,Wrigley 1992
1991,50.18098905175797,0.017105286542945398,0.0020547155157964138,shrunk,Wrigley 1992
1992,53.63079819419732,0.017105286542945398,0.0015775323196746311,shrunk,Wrigley 1992
1993,49.982699501323225,0.01657800323754412,0.0016013479913519668,shrunk,Wrigley 1992
1994,47.816392021499375,0.01617863395565586,0.0015285137152062146,shrunk,Wrigley 1992
1995,44.71551490289387,0.015781252457432223,0.0016038104891793234,shrunk,Wrigley 1992
1996,42.26323949376412,0.015403848587700796,0.0015977199848526778,shrunk,Wrigley 1992
1997,38.901100598685225,0.01494661476148131,0.0016630371253772806,shrunk,Wrigley 1992
1944,38.56552411004469,-0.028428736511186523,-0.001939678509022137,raw,Cleveland 1947 (screen said 1952)
1945,36.318331408244816,-0.026197286155809536,-0.0018596278083710576,raw,Cleveland 1947 (screen said 1952)
1946,39.17393653619517,-0.025799883706081318,-0.0016381582007353973,raw,Cleveland 1947 (screen said 1952)
1947,46.31371256780644,-0.0265576224506381,-0.0012862140182046506,raw,Cleveland 1947 (screen said 1952)
